📊 [1/27] 172.64.52.127（延迟 20ms，带宽 139.32Mbps，评分 100.0）
📊 [2/27] 104.17.29.58（延迟 52ms，带宽 815.09Mbps，评分 95.0）
📊 [3/27] 104.17.208.219（延迟 51ms，带宽 1617.75Mbps，评分 95.0）
📊 [4/27] 104.17.162.3（延迟 52ms，带宽 3122.45Mbps，评分 95.0）
📊 [5/27] 104.18.89.52（延迟 51ms，带宽 3145.87Mbps，评分 95.0）
📊 [6/27] 104.16.115.251（延迟 52ms，带宽 3612.95Mbps，评分 95.0）
📊 [7/27] 104.18.166.129（延迟 51ms，带宽 1818.20Mbps，评分 95.0）
📊 [8/27] 104.17.149.137（延迟 52ms，带宽 1394.09Mbps，评分 95.0）
📊 [9/27] 104.18.44.17（延迟 52ms，带宽 2974.74Mbps，评分 95.0）
📊 [10/27] 104.18.151.172（延迟 52ms，带宽 2703.45Mbps，评分 95.0）
📊 [11/27] 104.19.151.130（延迟 51ms，带宽 3226.00Mbps，评分 95.0）
📊 [12/27] 104.18.223.253（延迟 51ms，带宽 3001.80Mbps，评分 95.0）
📊 [13/27] 104.19.148.121（延迟 51ms，带宽 352.20Mbps，评分 95.0）
📊 [14/27] 104.19.154.200（延迟 51ms，带宽 2891.83Mbps，评分 95.0）
📊 [15/27] 104.26.4.90（延迟 51ms，带宽 2993.34Mbps，评分 95.0）
📊 [16/27] 104.19.182.82（延迟 52ms，带宽 3040.61Mbps，评分 95.0）
📊 [17/27] 104.26.5.134（延迟 52ms，带宽 3100.11Mbps，评分 95.0）
📊 [18/27] 108.162.198.30（延迟 51ms，带宽 2667.00Mbps，评分 95.0）
📊 [19/27] 104.19.220.22（延迟 52ms，带宽 1801.75Mbps，评分 95.0）
📊 [20/27] 104.31.16.158（延迟 51ms，带宽 1808.52Mbps，评分 95.0）
📊 [21/27] 172.64.91.69（延迟 51ms，带宽 2680.90Mbps，评分 95.0）
📊 [22/27] 198.41.209.151（延迟 52ms，带宽 2805.03Mbps，评分 95.0）
📊 [23/27] 104.16.65.1（延迟 51ms，带宽 2861.77Mbps，评分 95.0）
📊 [24/27] 162.159.136.89（延迟 55ms，带宽 2621.55Mbps，评分 95.0）
📊 [25/27] 198.41.194.162（延迟 54ms，带宽 2951.78Mbps，评分 95.0）
📊 [26/27] 108.162.198.238（延迟 55ms，带宽 2488.96Mbps，评分 95.0）
📊 [27/27] 172.64.154.139（延迟 57ms，带宽 2538.15Mbps，评分 95.0）
